,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
202,Bukoba,TZ,-1.3317,31.8122,66.42,80,31,6.2,scattered clouds
203,Cabedelo,BR,-6.9811,-34.8339,77.67,71,65,15.52,broken clouds
204,Aksarka,RU,66.5606,67.7975,31.46,89,48,23.85,scattered clouds
205,Sanica,BA,44.6142,16.6411,61.54,98,98,0.74,overcast clouds
206,Upernavik,GL,72.7868,-56.1549,25.43,60,67,6.91,broken clouds
207,Asekeyevo,RU,53.5742,52.7972,37.98,71,93,2.46,overcast clouds
208,Saldanha,ZA,-33.0117,17.9442,57.25,80,87,8.23,overcast clouds
209,Hamilton,US,39.1834,-84.5333,85.59,56,1,1.99,clear sky
210,Taoudenni,ML,22.6783,-3.9836,99.75,10,0,6.33,clear sky
211,Kisangani,CD,0.5167,25.2,68.38,99,23,1.99,light rain
212,Avera,US,33.194,-82.5271,84.07,61,100,9.66,overcast clouds
213,Batagay,RU,67.6333,134.6333,26.76,90,84,2.44,broken clouds
214,Iringa,TZ,-7.7667,35.7,58.48,82,2,9.82,clear sky
215,Praia Da Vitoria,PT,38.7333,-27.0667,70.05,83,75,10.4,broken clouds
216,Plettenberg Bay,ZA,-34.0527,23.3716,55.65,87,41,4.99,scattered clouds
217,Mnogovershinnyy,RU,53.9353,139.9242,42.12,75,3,9.78,clear sky
218,Umm Lajj,SA,25.0213,37.2685,83.89,60,7,7.56,clear sky
219,Souillac,MU,-20.5167,57.5167,65.35,63,30,9.73,scattered clouds
220,Xuzhou,CN,34.1805,117.1571,62.11,94,100,12.59,overcast clouds
221,Seymchan,RU,62.8833,152.4333,38.53,84,100,11.07,overcast clouds
222,Tuatapere,NZ,-46.1333,167.6833,52.83,74,43,9.42,scattered clouds
223,San Onofre,CO,9.7359,-75.5263,81.45,83,97,5.82,overcast clouds
224,Wuwei,CN,37.9281,102.6414,59.7,32,0,7.25,clear sky
225,Garmsar,IR,35.2182,52.3409,81.81,18,0,5.99,clear sky
226,Puerto Baquerizo Moreno,EC,-0.9,-89.6,72.59,83,75,11.5,broken clouds
227,Saint-Francois,FR,46.4154,3.9054,60.24,94,90,9.22,overcast clouds
