City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
354,Elizabeth City,US,81.01,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
357,Bonthe,SL,76.3,light rain,7.5264,-12.505,Bonthe Holiday Village
359,Itoman,JP,79.57,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
360,Meulaboh,ID,73.0,moderate rain,4.1363,96.1285,Kost Pria
365,Mahebourg,MU,70.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
367,Victoria,HK,85.32,few clouds,22.2855,114.1577,Mini Hotel Central
369,Gallup,US,78.64,scattered clouds,35.5281,-108.7426,El Capitan Motel
370,Salinas,US,83.98,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
374,Hobyo,SO,76.96,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
377,Show Low,US,83.08,clear sky,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
378,Reconquista,AR,89.87,overcast clouds,-29.15,-59.65,Grand Hotel
379,Sampit,ID,71.38,scattered clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
380,Waingapu,ID,79.25,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
386,Palmer,US,72.21,few clouds,42.1584,-72.3287,Wedgewood Motel
387,Carutapera,BR,78.93,broken clouds,-1.195,-46.02,Lidera
392,Matara,LK,77.97,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
394,Pacifica,US,82.26,broken clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
399,Makokou,GA,71.06,light rain,0.5738,12.8642,Motel des voyageurs
400,Nanakuli,US,87.75,scattered clouds,21.3906,-158.1547,Camp Pālehua
402,Sola,VU,83.07,broken clouds,-13.8833,167.55,Leumerus Bungalows
405,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Posada Villaven C.A.
414,Zambezi,ZM,75.99,broken clouds,-13.5432,23.1047,Royal Kutachika Lodge
415,Salta,AR,81.57,scattered clouds,-24.7859,-65.4117,Hotel Alejandro I
416,San Antero,CO,80.96,overcast clouds,9.3741,-75.7589,Villamarina Inn chale
421,Champerico,GT,87.35,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
422,Goderich,CA,74.21,clear sky,43.7501,-81.7165,Harmony Inn
423,Catuday,PH,77.94,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
424,Spencer,US,88.74,overcast clouds,43.1414,-95.1444,Days Inn by Wyndham Hotel Spencer IA
426,Bud,US,85.95,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
427,Esmeralda,CU,88.84,overcast clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
429,Marsh Harbour,BS,83.73,broken clouds,26.5412,-77.0636,Abaco Beach Resort
435,Itabera,BR,75.07,scattered clouds,-23.8619,-49.1372,Rancho das Pedras Hotel
436,Ormara,PK,80.76,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
438,Gat,IL,77.4,clear sky,31.61,34.7642,OlusHome
439,Am Timan,TD,73.63,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
441,North Augusta,US,84.51,scattered clouds,33.5018,-81.9651,Ramada by Wyndham Augusta Downtown Hotel & Conference Center
444,Bella Union,UY,74.08,overcast clouds,-30.2752,-57.6007,Saville Free Shop
446,Contai,IN,76.51,moderate rain,21.7786,87.7536,PATHFINDER
447,Male,MV,81.93,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
449,Dyersburg,US,81.09,overcast clouds,36.0345,-89.3856,Hampton Inn Dyersburg
450,Parati,BR,85.1,broken clouds,-23.2178,-44.7131,Che Lagarto Paraty
452,West Plains,US,83.32,broken clouds,36.7281,-91.8524,West Plains Motel
453,Rawah,IQ,79.29,clear sky,34.4816,41.9093,ديوان الشيخ نامق محسن الراوي
455,Poum,NC,72.37,clear sky,-20.2333,164.0167,Gîte kajeon
457,Ransang,PH,79.16,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
458,Labuhan,ID,76.66,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
459,Cabra,ES,76.39,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
460,Kavieng,PG,82.56,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
463,Ilhabela,BR,71.17,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
464,Banda Aceh,ID,75.79,light rain,5.5577,95.3222,Sulthan Hotel International
465,Taft,IR,73.35,scattered clouds,31.7471,54.2088,بوم گردی حاجی زینل تفت
466,Salalah,OM,80.69,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
468,Passos,BR,84.6,broken clouds,-20.7189,-46.6097,AL
469,Virginia Beach,US,80.62,scattered clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
471,Barra Da Estiva,BR,70.72,clear sky,-13.6261,-41.3269,Pousada Central
472,Muscle Shoals,US,77.27,broken clouds,34.7448,-87.6675,Microtel Inn & Suites by Wyndham Tuscumbia/Muscle Shoals
473,Madimba,TZ,73.96,clear sky,-10.4,40.3333,
474,Jacareacanga,BR,82.09,light rain,-6.2222,-57.7528,Casa do Ian😎
475,Pangkalanbuun,ID,72.14,scattered clouds,-2.6833,111.6167,Grand Kecubung Hotel
476,Alpena,US,77.94,clear sky,45.0617,-83.4327,Days Inn by Wyndham Alpena
479,Mana,GF,79.92,broken clouds,5.6592,-53.7767,LE SAMANA
480,Kirakira,SB,82.22,light rain,-10.4544,161.9205,SanBiz Lodge
