City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
172,Viedma,AR,2021-09-19 18:34:02,-40.8135,-62.9967,58.82,74,100,13.42
173,Deputatskiy,RU,2021-09-19 18:36:28,69.3,139.9,15.39,96,99,6.67
174,Oranjemund,NA,2021-09-19 18:36:28,-28.55,16.4333,56.68,84,0,4.0
175,Salalah,OM,2021-09-19 18:36:28,17.0151,54.0924,80.69,94,75,9.22
176,Bonoua,CI,2021-09-19 18:36:29,5.2741,-3.595,78.42,90,10,4.54
177,Bambous Virieux,MU,2021-09-19 18:36:29,-20.3428,57.7575,71.85,56,40,11.5
178,Chifeng,CN,2021-09-19 18:36:29,42.2683,118.9636,55.54,95,100,11.41
179,Slave Lake,CA,2021-09-19 18:36:30,55.2834,-114.769,46.38,87,90,12.66
180,Kpandu,GH,2021-09-19 18:36:30,6.9954,0.2931,78.76,81,45,3.8
181,Ligayan,PH,2021-09-19 18:36:30,4.6533,119.4706,83.32,74,97,6.31
182,Butaritari,KI,2021-09-19 18:36:30,3.0707,172.7902,82.42,66,100,16.58
183,Hofn,IS,2021-09-19 18:36:31,64.2539,-15.2082,50.68,80,100,16.15
184,Coihaique,CL,2021-09-19 18:36:31,-45.5752,-72.0662,53.55,43,40,6.91
185,Okhotsk,RU,2021-09-19 18:32:11,59.3833,143.3,45.81,79,100,10.49
186,Vardo,NO,2021-09-19 18:36:32,70.3705,31.1107,44.8,70,0,8.05
187,Rio Gallegos,AR,2021-09-19 18:36:32,-51.6226,-69.2181,55.45,38,75,12.66
188,Sao Filipe,CV,2021-09-19 18:36:17,14.8961,-24.4956,80.92,80,98,8.95
189,Nakasongola,UG,2021-09-19 18:36:32,1.3089,32.4564,65.25,94,40,3.42
190,Changping,CN,2021-09-19 18:36:33,40.2186,116.2197,62.24,94,100,6.46
191,Saldanha,ZA,2021-09-19 18:35:06,-33.0117,17.9442,59.05,71,96,8.05
192,Babu,CN,2021-09-19 18:36:33,24.4167,111.5167,77.7,90,32,1.92
193,Kapaa,US,2021-09-19 18:36:33,22.0752,-159.319,75.18,81,90,1.01
194,Pyaozerskiy,RU,2021-09-19 18:36:34,65.8333,31.1667,36.79,83,8,3.33
195,Ermelo,ZA,2021-09-19 18:36:34,-26.5333,29.9833,59.02,44,0,5.82
196,Sola,VU,2021-09-19 18:36:34,-13.8833,167.55,79.47,83,75,5.75
197,Keita,NE,2021-09-19 18:36:35,14.7551,5.7749,82.4,46,8,14.29
198,Ketchikan,US,2021-09-19 18:35:17,55.3422,-131.6461,54.07,87,90,8.05
199,Harbour Breton,CA,2021-09-19 18:36:35,47.4833,-55.7983,59.16,91,100,17.4
200,Wajima,JP,2021-09-19 18:36:35,37.4,136.9,70.27,71,7,14.12
201,Aykhal,RU,2021-09-19 18:36:36,66.0,111.5,26.96,87,76,5.03
202,Dingle,PH,2021-09-19 18:36:36,10.9995,122.6711,74.98,92,100,2.91
203,Huarmey,PE,2021-09-19 18:36:36,-10.0681,-78.1522,67.17,67,8,13.06
204,Upernavik,GL,2021-09-19 18:35:24,72.7868,-56.1549,26.38,57,37,4.65
205,Riyadh,SA,2021-09-19 18:35:24,24.6877,46.7219,91.54,19,0,8.03
206,Port Elizabeth,ZA,2021-09-19 18:36:37,-33.918,25.5701,59.29,77,0,5.75
207,Soyo,AO,2021-09-19 18:36:37,-6.1349,12.3689,77.05,74,100,9.19
208,Pacific Grove,US,2021-09-19 18:33:09,36.6177,-121.9166,77.38,78,40,1.99
209,Villa Carlos Paz,AR,2021-09-19 18:36:37,-31.4241,-64.4978,76.28,53,69,4.0
210,Eyl,SO,2021-09-19 18:36:38,7.9803,49.8164,77.79,80,9,22.46
211,Acapulco,MX,2021-09-19 18:36:38,16.8634,-99.8901,87.62,70,40,5.75
212,Yangjiang,CN,2021-09-19 18:36:39,21.85,111.9667,78.94,88,4,2.84
213,Shimminato,JP,2021-09-19 18:36:39,36.7833,137.0667,70.3,81,99,7.99
214,Avera,US,2021-09-19 18:36:39,33.194,-82.5271,86.94,55,100,10.92
215,Inhambane,MZ,2021-09-19 18:36:40,-23.865,35.3833,67.98,64,0,6.91
216,Fengzhen,CN,2021-09-19 18:36:40,40.4394,113.1536,55.36,70,100,4.25
217,San Juan,AR,2021-09-19 18:36:40,-31.5375,-68.5364,77.72,22,0,19.44
218,Bjornevatn,NO,2021-09-19 18:36:41,69.6672,29.9847,44.22,75,0,8.05
219,Castro,BR,2021-09-19 18:36:41,-24.7911,-50.0119,81.63,50,39,5.73
220,Sidi Ali,DZ,2021-09-19 18:36:41,36.0998,0.4206,72.75,71,0,9.93
221,Hambantota,LK,2021-09-19 18:36:09,6.1241,81.1185,80.94,100,20,8.05
222,Mount Gambier,AU,2021-09-19 18:36:42,-37.8333,140.7667,48.11,76,40,19.57
223,Ojinaga,MX,2021-09-19 18:36:42,29.5667,-104.4167,94.57,31,1,5.75
224,Marsa Matruh,EG,2021-09-19 18:36:42,31.3525,27.2453,79.0,83,75,9.22
225,Assiniboia,CA,2021-09-19 18:36:43,49.6334,-105.9845,60.62,39,100,16.11
226,El Alto,PE,2021-09-19 18:36:43,-4.2714,-81.2147,74.86,70,66,17.13
227,Puerto Del Rosario,ES,2021-09-19 18:36:43,28.5004,-13.8627,76.68,73,75,13.8
228,Ostrovnoy,RU,2021-09-19 18:36:44,68.0531,39.5131,37.4,78,38,5.64
229,Sitka,US,2021-09-19 18:36:44,57.0531,-135.33,53.49,82,75,0.0
230,Susehri,TR,2021-09-19 18:36:44,40.1644,38.0867,64.22,55,40,2.53
231,Anadyr,RU,2021-09-19 18:36:45,64.75,177.4833,27.1,100,40,8.95
232,Bani,DO,2021-09-19 18:35:54,18.2833,-70.3333,90.86,59,24,10.65
233,Nelson Bay,AU,2021-09-19 18:34:27,-32.7167,152.15,55.96,89,0,8.46
234,Saint-Pierre,RE,2021-09-19 18:36:45,-21.3393,55.4781,65.88,72,75,8.05
235,Nuuk,GL,2021-09-19 18:36:45,64.1835,-51.7216,39.81,60,20,11.5
236,Ponta Do Sol,PT,2021-09-19 18:36:46,32.6667,-17.1,75.7,67,89,5.28
237,Abu Samrah,SY,2021-09-19 18:36:46,35.3029,37.1841,76.93,42,0,8.68
238,Wenzhou,CN,2021-09-19 18:36:46,27.9994,120.6668,76.53,95,37,1.45
239,Magdiwang,PH,2021-09-19 18:36:46,12.491,122.5135,80.53,84,100,7.65
240,Tazovskiy,RU,2021-09-19 18:32:12,67.4667,78.7,35.78,97,100,16.62
241,Mvomero,TZ,2021-09-19 18:36:47,-6.25,38.6667,74.86,78,0,5.93
242,Narsaq,GL,2021-09-19 18:36:47,60.9167,-46.05,43.02,82,69,4.27
243,Kyzyl,RU,2021-09-19 18:36:47,51.7,94.45,56.1,44,0,3.6
244,Muisne,EC,2021-09-19 18:36:48,0.6,-80.0333,80.71,83,66,11.59
245,Zhigansk,RU,2021-09-19 18:36:48,66.7697,123.3711,29.28,90,16,11.1
246,Lorengau,PG,2021-09-19 18:36:48,-2.0226,147.2712,81.1,78,89,7.11
247,Isangel,VU,2021-09-19 18:36:48,-19.55,169.2667,55.51,94,31,3.44
248,Lamar,US,2021-09-19 18:36:49,33.6668,-95.5836,91.53,60,40,4.61
249,Mahebourg,MU,2021-09-19 18:36:49,-20.4081,57.7,71.89,56,40,11.5
250,Buloh Kasap,MY,2021-09-19 18:36:49,2.5536,102.764,76.91,97,100,2.73
251,Iqaluit,CA,2021-09-19 18:36:50,63.7506,-68.5145,37.13,65,40,14.97
252,Olafsvik,IS,2021-09-19 18:36:50,64.8945,-23.7142,48.56,81,100,14.41
253,Husavik,IS,2021-09-19 18:36:50,66.0449,-17.3389,51.71,87,100,4.83
254,Takoradi,GH,2021-09-19 18:36:51,4.8845,-1.7554,76.41,90,24,8.14
255,Barra Patuca,HN,2021-09-19 18:36:51,15.8,-84.2833,86.9,64,95,8.08
256,Nieuw Amsterdam,SR,2021-09-19 18:36:51,5.8833,-55.0833,91.56,66,40,6.91
257,Beloha,MG,2021-09-19 18:36:51,-25.1667,45.05,60.8,71,0,10.29
258,Nchelenge,ZM,2021-09-19 18:36:52,-9.3451,28.734,80.26,40,71,6.89
259,Pimentel,PE,2021-09-19 18:36:52,-6.8367,-79.9342,71.89,56,0,14.97
260,Tahe,CN,2021-09-19 18:36:52,52.3333,124.7333,39.06,77,49,4.65
261,Mandalgovi,MN,2021-09-19 18:33:04,45.7625,106.2708,50.36,91,8,8.32
262,Restrepo,CO,2021-09-19 18:36:53,3.822,-76.5224,83.26,62,66,6.04
263,Kahului,US,2021-09-19 18:36:53,20.8947,-156.47,83.46,69,20,16.11
264,Lagoa,PT,2021-09-19 18:36:53,39.05,-27.9833,68.09,66,29,13.56
265,Laramie,US,2021-09-19 18:36:54,41.3114,-105.5911,75.29,30,40,7.0
266,Asau,RO,2021-09-19 18:36:54,46.4333,26.4,49.39,73,100,2.57
267,Inirida,CO,2021-09-19 18:36:54,3.8653,-67.9239,87.93,59,53,1.74
